-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Hourly Data ,,,,,,,,
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC,,,,,,,,
Location: Latitude  20.28   Longitude 85.7768 ,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 72.95 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
Parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,,,,
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) ,,,,,,,,
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) ,,,,,,,,
T2M                    MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M,WS10M
2025,1,1,0,0,0,0,12,2.58
2025,1,1,1,40.78,11.45,39.46,12.95,2.94
2025,1,1,2,169.68,98.49,135.61,14.86,3.3
2025,1,1,3,320.42,201.03,208.49,17.31,2.5
2025,1,1,4,421.9,303.29,213.83,20.27,2.53
2025,1,1,5,560.5,369.07,274.25,21.81,2.12
2025,1,1,6,581.08,375.27,258.13,22.7,2.05
2025,1,1,7,546.92,367.76,256.41,23.2,2.18
2025,1,1,8,459.05,347.74,227.37,23.28,2.29
2025,1,1,9,304.5,261.7,170.63,22.88,2.13
2025,1,1,10,138.05,127.35,94.61,22.06,1.53
2025,1,1,11,18.88,5.18,19.65,20.72,0.77
2025,1,1,12,0,0,0,20.16,0.16
2025,1,1,13,0,0,0,19.67,0.25
2025,1,1,14,0,0,0,19.05,0.45
2025,1,1,15,0,0,0,18.47,0.39
2025,1,1,16,0,0,0,17.78,0.14
2025,1,1,17,0,0,0,16.5,0.65
2025,1,1,18,0,0,0,14.87,1.4
2025,1,1,19,0,0,0,13.16,2.1
2025,1,1,20,0,0,0,12.02,2.55
2025,1,1,21,0,0,0,11.37,2.77
2025,1,1,22,0,0,0,10.86,2.81
2025,1,1,23,0,0,0,10.39,2.77
2025,1,2,0,0,0,0,9.99,2.73
2025,1,2,1,43.5,24.41,39,11.27,2.87
2025,1,2,2,199.23,185.26,132.75,13.61,3.6
2025,1,2,3,354.48,323.4,180.41,16.21,2.66
2025,1,2,4,535,474.38,216.01,19.66,2.64
2025,1,2,5,640.2,539.18,232.86,21.32,2.37
2025,1,2,6,654.38,521.32,238.47,22.36,2.13
2025,1,2,7,619.62,531.05,229.81,22.94,1.91
2025,1,2,8,483.88,408.47,216.12,23.09,1.65
2025,1,2,9,334.17,337.11,171.54,22.78,1.35
2025,1,2,10,158.93,192.44,106.61,22.07,0.99
2025,1,2,11,22.2,9.94,23.7,20.43,0.57
2025,1,2,12,0,0,0,19.48,0.29
2025,1,2,13,0,0,0,19.12,0.17
2025,1,2,14,0,0,0,18.63,0.29
2025,1,2,15,0,0,0,17.85,0.58
2025,1,2,16,0,0,0,16.95,0.85
2025,1,2,17,0,0,0,15.9,1.05
2025,1,2,18,0,0,0,14.78,1.13
2025,1,2,19,0,0,0,13.91,1.19
2025,1,2,20,0,0,0,13.08,1.32
2025,1,2,21,0,0,0,12.04,1.72
2025,1,2,22,0,0,0,10.86,2.17
2025,1,2,23,0,0,0,10.08,2.44
2025,1,3,0,0,0,0,9.59,2.53
2025,1,3,1,42.5,25.76,38.79,10.84,2.27
2025,1,3,2,195.23,193.76,125.16,13.61,2.81
2025,1,3,3,377.05,340.78,195.21,16.07,2.04
2025,1,3,4,510.2,399.27,230.87,18.74,1.82
2025,1,3,5,612.2,464.51,244.7,20.45,1.54
2025,1,3,6,586.92,378.79,264.25,21.48,1.19
2025,1,3,7,553.45,384.15,245.45,21.99,0.91
2025,1,3,8,506.42,460.67,204.04,22.06,1.2
2025,1,3,9,307.98,238.6,181.91,21.69,1.47
2025,1,3,10,137.8,108.31,96.4,20.84,1.25
2025,1,3,11,20.67,4.23,22.07,19.02,0.78
2025,1,3,12,0,0,0,17.82,0.41
2025,1,3,13,0,0,0,17.17,0.68
2025,1,3,14,0,0,0,16.37,1.16
2025,1,3,15,0,0,0,15.43,1.37
2025,1,3,16,0,0,0,14.95,1.32
2025,1,3,17,0,0,0,14.68,1.14
2025,1,3,18,0,0,0,14.18,1.09
2025,1,3,19,0,0,0,13.33,1.28
2025,1,3,20,0,0,0,12.71,1.52
2025,1,3,21,0,0,0,11.89,1.8
2025,1,3,22,0,0,0,11.12,2.09
2025,1,3,23,0,0,0,10.59,2.29
2025,1,4,0,0,0,0,10.22,2.39
2025,1,4,1,40.58,16.91,38.1,11.38,2.27
2025,1,4,2,180.88,152.39,127.53,14.12,2.92
2025,1,4,3,353.38,291.42,182.55,16.62,2.18
2025,1,4,4,469.1,333.52,232.27,19.77,1.77
2025,1,4,5,574.55,407.43,245.57,21.39,1.47
2025,1,4,6,575.5,378.26,254.82,22.49,1.29
2025,1,4,7,531.45,357.66,247.44,23.23,1.19
2025,1,4,8,428.15,304.84,219.86,23.48,1.12
2025,1,4,9,314.5,282.89,165,23.21,1.06
2025,1,4,10,152.38,170.75,94.41,22.49,0.85
2025,1,4,11,21.02,6.76,20.23,20.92,0.51
2025,1,4,12,0,0,0,19.63,0.84
2025,1,4,13,0,0,0,18.35,1.33
2025,1,4,14,0,0,0,17.29,1.67
2025,1,4,15,0,0,0,16.57,1.74
2025,1,4,16,0,0,0,16.13,1.58
2025,1,4,17,0,0,0,15.72,1.21
2025,1,4,18,0,0,0,15.86,0.73
2025,1,4,19,0,0,0,15.66,0.41
2025,1,4,20,0,0,0,14.83,0.69
2025,1,4,21,0,0,0,13.84,1.13
2025,1,4,22,0,0,0,13.02,1.47
2025,1,4,23,0,0,0,12.45,1.68
2025,1,5,0,0,0,0,12.02,1.79
2025,1,5,1,37.78,14.08,36.21,12.82,1.69
2025,1,5,2,168.35,122.89,118.72,15.34,2.08
2025,1,5,3,331.5,241.66,189.12,18,1.23
2025,1,5,4,437.65,277.85,234.18,21,1.19
2025,1,5,5,538.05,335.25,264.57,22.56,1.04
2025,1,5,6,591.22,397.47,257.01,23.42,0.69
2025,1,5,7,542.2,371.19,248.43,23.91,0.41
2025,1,5,8,442.58,329.62,219.27,24.04,0.4
2025,1,5,9,324.27,302,164.25,23.81,0.48
2025,1,5,10,150.07,155.87,95.53,23.06,0.52
2025,1,5,11,22.58,8.67,22.33,21.29,0.66
2025,1,5,12,0,0,0,20.05,0.94
2025,1,5,13,0,0,0,19.14,1.12
2025,1,5,14,0,0,0,18.29,1.29
2025,1,5,15,0,0,0,17.75,1.39
