YEAR,MO,DY,HR,GHI,DNI,DHI,T2M,WS10M,Sun_Elevation,Optimal_Tilt_Target
2020,1,1,1,0,0,0,11.58,2.68,0,0
2020,1,1,2,0,0,0,11.15,2.72,0,0
2020,1,1,3,0,0,0,10.8,2.7,0,0
2020,1,1,4,0,0,0,10.51,2.65,0,0
2020,1,1,5,0,0,0,10.29,2.64,0,0
2020,1,1,6,0,0,0,10.11,2.68,0,0
2020,1,1,7,61.9,138.98,39.26,11.6,2.64,5.04630002673791,84.9536999732621
2020,1,1,8,254.07,476.2,97.01,14.31,3.54,17.2288315769824,72.7711684230176
2020,1,1,9,449.92,630.95,130.44,16.7,2.99,28.3592289682972,61.6407710317028
2020,1,1,10,607.47,732.76,140.53,20.04,3.2,37.7489970593542,52.2510029406458
2020,1,1,11,702.33,762.23,155.15,21.66,3.01,44.3031230968678,45.6968769031322
2020,1,1,12,679.35,626.21,199.19,22.56,2.84,46.7083632721308,43.2916367278692
2020,1,1,13,630.92,591.3,201.28,23.04,2.81,44.3031230968678,45.6968769031322
2020,1,1,14,517.72,541.73,177,23.06,2.88,37.7489970593542,52.2510029406458
2020,1,1,15,353.23,443.85,141.81,22.65,2.81,28.3592289682972,61.6407710317028
2020,1,1,16,171.73,272.95,90.97,21.57,2.33,17.2288315769824,72.7711684230176
2020,1,1,17,22.73,27.52,21.26,18.73,2.08,5.04630002673791,84.9536999732621
2020,1,1,18,0,0,0,17.16,2.33,0,0
2020,1,1,19,0,0,0,16.42,2.35,0,0
2020,1,1,20,0,0,0,15.8,2.31,0,0
2020,1,1,21,0,0,0,15.7,2.13,0,0
2020,1,1,22,0,0,0,15.51,2.02,0,0
2020,1,1,23,0,0,0,15.19,2.07,0,0
2020,1,2,0,0,0,0,14.82,2.21,0,0
2020,1,2,1,0,0,0,14.52,2.4,0,0
2020,1,2,2,0,0,0,14.33,2.55,0,0
2020,1,2,3,0,0,0,14.13,2.52,0,0
2020,1,2,4,0,0,0,13.8,2.41,0,0
2020,1,2,5,0,0,0,13.44,2.32,0,0
2020,1,2,6,0,0,0,13.08,2.23,0,0
2020,1,2,7,54.12,76.05,44.52,14.04,2.24,5.0799934869874,84.9200065130126
2020,1,2,8,220.68,315.66,119.96,15.79,2.37,17.2714712522629,72.7285287477371
2020,1,2,9,395.48,477.76,157.69,18.48,2.2,28.412504387913,61.587495612087
2020,1,2,10,545.33,627.61,171.04,20.96,2.62,37.8142687404293,52.1857312595707
2020,1,2,11,604.22,481.41,295.93,22.22,2.55,44.3794010831065,45.6205989168935
2020,1,2,12,490.33,197.2,318.36,23.16,2.79,46.7894563916923,43.2105436083077
2020,1,2,13,306.92,173.91,220.21,23.77,3.43,44.3794010831065,45.6205989168935
2020,1,2,14,308.58,59.4,245.87,23.95,3.58,37.8142687404293,52.1857312595707
2020,1,2,15,204.1,46.33,169.66,23.78,2.74,28.412504387913,61.587495612087
2020,1,2,16,99.35,29.62,84.72,22.75,2.15,17.2714712522629,72.7285287477371
2020,1,2,17,13.18,3.81,13.12,20.93,1.86,5.0799934869874,84.9200065130126
2020,1,2,18,0,0,0,19.88,2.11,0,0
2020,1,2,19,0,0,0,19.35,2.4,0,0
