YEAR,MO,DY,HR,GHI,DNI,DHI,T2M,WS10M,Sun_Elevation,Optimal_Tilt_Target
2025,1,1,1,40.78,11.45,39.46,12.95,2.94,0,0
2025,1,1,2,169.68,98.49,135.61,14.86,3.3,0,0
2025,1,1,3,320.42,201.03,208.49,17.31,2.5,0,0
2025,1,1,4,421.9,303.29,213.83,20.27,2.53,0,0
2025,1,1,5,560.5,369.07,274.25,21.81,2.12,0,0
2025,1,1,6,581.08,375.27,258.13,22.7,2.05,0,0
2025,1,1,7,546.92,367.76,256.41,23.2,2.18,5.04630002673791,84.9536999732621
2025,1,1,8,459.05,347.74,227.37,23.28,2.29,17.2288315769824,72.7711684230176
2025,1,1,9,304.5,261.7,170.63,22.88,2.13,28.3592289682972,61.6407710317028
2025,1,1,10,138.05,127.35,94.61,22.06,1.53,37.7489970593542,52.2510029406458
2025,1,1,11,18.88,5.18,19.65,20.72,0.77,44.3031230968678,45.6968769031322
2025,1,1,12,0,0,0,20.16,0.16,46.7083632721308,43.2916367278692
2025,1,1,13,0,0,0,19.67,0.25,44.3031230968678,45.6968769031322
2025,1,1,14,0,0,0,19.05,0.45,37.7489970593542,52.2510029406458
2025,1,1,15,0,0,0,18.47,0.39,28.3592289682972,61.6407710317028
2025,1,1,16,0,0,0,17.78,0.14,17.2288315769824,72.7711684230176
2025,1,1,17,0,0,0,16.5,0.65,5.04630002673791,84.9536999732621
2025,1,1,18,0,0,0,14.87,1.4,0,0
2025,1,1,19,0,0,0,13.16,2.1,0,0
2025,1,1,20,0,0,0,12.02,2.55,0,0
2025,1,1,21,0,0,0,11.37,2.77,0,0
2025,1,1,22,0,0,0,10.86,2.81,0,0
2025,1,1,23,0,0,0,10.39,2.77,0,0
2025,1,2,0,0,0,0,9.99,2.73,0,0
2025,1,2,1,43.5,24.41,39,11.27,2.87,0,0
2025,1,2,2,199.23,185.26,132.75,13.61,3.6,0,0
2025,1,2,3,354.48,323.4,180.41,16.21,2.66,0,0
2025,1,2,4,535,474.38,216.01,19.66,2.64,0,0
2025,1,2,5,640.2,539.18,232.86,21.32,2.37,0,0
2025,1,2,6,654.38,521.32,238.47,22.36,2.13,0,0
2025,1,2,7,619.62,531.05,229.81,22.94,1.91,5.0799934869874,84.9200065130126
2025,1,2,8,483.88,408.47,216.12,23.09,1.65,17.2714712522629,72.7285287477371
2025,1,2,9,334.17,337.11,171.54,22.78,1.35,28.412504387913,61.587495612087
2025,1,2,10,158.93,192.44,106.61,22.07,0.99,37.8142687404293,52.1857312595707
2025,1,2,11,22.2,9.94,23.7,20.43,0.57,44.3794010831065,45.6205989168935
2025,1,2,12,0,0,0,19.48,0.29,46.7894563916923,43.2105436083077
2025,1,2,13,0,0,0,19.12,0.17,44.3794010831065,45.6205989168935
2025,1,2,14,0,0,0,18.63,0.29,37.8142687404293,52.1857312595707
2025,1,2,15,0,0,0,17.85,0.58,28.412504387913,61.587495612087
2025,1,2,16,0,0,0,16.95,0.85,17.2714712522629,72.7285287477371
2025,1,2,17,0,0,0,15.9,1.05,5.0799934869874,84.9200065130126
2025,1,2,18,0,0,0,14.78,1.13,0,0
2025,1,2,19,0,0,0,13.91,1.19,0,0
2025,1,2,20,0,0,0,13.08,1.32,0,0
2025,1,2,21,0,0,0,12.04,1.72,0,0
2025,1,2,22,0,0,0,10.86,2.17,0,0
2025,1,2,23,0,0,0,10.08,2.44,0,0
2025,1,3,0,0,0,0,9.59,2.53,0,0
2025,1,3,1,42.5,25.76,38.79,10.84,2.27,0,0
2025,1,3,2,195.23,193.76,125.16,13.61,2.81,0,0
2025,1,3,3,377.05,340.78,195.21,16.07,2.04,0,0
2025,1,3,4,510.2,399.27,230.87,18.74,1.82,0,0
2025,1,3,5,612.2,464.51,244.7,20.45,1.54,0,0
2025,1,3,6,586.92,378.79,264.25,21.48,1.19,0,0
2025,1,3,7,553.45,384.15,245.45,21.99,0.91,5.1165005970945,84.8834994029055
